Frequency_Hz	Magnitude_Ohms	Phase_Degrees
657.8008	4.77105	-1.673873
658.5964	4.410941	-1.091924
659.392	4.491504	-0.4213662
660.1877	4.683005	-0.1197933
660.9833	4.482862	0.1502227
661.779	4.270697	0.6883475
662.5746	4.435195	1.193221
663.3703	4.615953	1.443809
664.1659	4.499174	1.727757
664.9616	4.396838	2.25147
665.7572	4.517773	2.797166
666.5529	4.624162	3.135686
667.3485	4.597855	3.397846
668.1442	4.609741	3.84857
668.9398	4.729599	4.312882
669.7355	4.824449	4.687554
670.5311	4.825234	5.091912
671.3267	4.897699	5.548376
672.1224	5.071543	5.975794
672.918	5.196728	6.334556
673.7137	5.23472	6.753239
674.5093	5.339825	7.258522
675.305	5.55077	7.744164
676.1006	5.696058	8.139511
676.8963	5.822357	8.618409
677.6919	6.044028	9.187485
678.4876	6.333059	9.645375
679.2832	6.502203	10.01827
680.0789	6.606157	10.56357
680.8745	6.90134	11.24254
681.6701	7.343947	11.78988
682.4658	7.644999	12.20494
683.2614	7.893535	12.83681
684.0571	8.357149	13.57929
684.8527	8.932901	14.07279
685.6484	9.319256	14.59233
686.444	9.70355	15.38568
687.2397	10.45862	16.02901
688.0353	11.32003	16.49648
688.831	11.91795	17.21056
689.6266	12.44096	18.25906
690.4223	13.43692	18.99121
691.2179	14.90185	19.32755
692.0136	16.06572	19.94809
692.8092	16.93363	20.8798
693.6048	18.40626	21.37729
694.4005	20.29174	21.79513
695.1961	21.49473	22.43829
695.9918	23.02527	22.85311
696.7874	26.04841	23.14795
697.5831	28.93652	23.24249
698.3787	30.57525	23.37508
699.1744	32.93974	23.26553
699.97	36.71254	21.89168
700.7657	39.95255	19.63717
701.5613	42.49002	17.64083
702.357	45.42153	15.52688
703.1526	47.92694	11.24993
703.9483	48.83168	6.291617
704.7439	49.93415	3.247383
705.5395	51.46777	-0.6061397
706.3352	50.11683	-6.191827
707.1308	46.85521	-10.52106
707.9265	44.99299	-13.24818
708.7221	43.41631	-16.43722
709.5178	39.94188	-19.07393
710.3134	36.1775	-20.08471
711.1091	33.28677	-20.83653
711.9047	30.59272	-22.26148
712.7004	27.90365	-22.84325
713.496	25.26081	-22.02404
714.2917	23.11125	-21.26824
715.0873	21.2085	-21.17491
715.8829	19.44882	-20.94627
716.6786	17.99733	-20.16077
717.4742	16.76944	-19.24268
718.2699	15.40868	-18.35305
719.0655	14.06048	-17.75211
719.8612	13.02626	-17.1936
720.6568	12.41639	-16.40991
721.4525	11.78396	-15.53936
722.2481	10.94909	-14.76406
723.0438	10.28734	-14.02181
723.8394	9.82053	-13.3432
724.6351	9.338057	-12.76028
725.4307	8.819629	-12.17348
726.2264	8.381176	-11.47875
727.022	8.160545	-10.77539
727.8176	7.857253	-10.14439
728.6133	7.389103	-9.598584
729.4089	7.070213	-9.071493
730.2046	7.032309	-8.498295
731.0002	6.905432	-7.868256
731.7959	6.619869	-7.316447
732.5915	6.404732	-6.818466
733.3872	6.274278	-6.303717
734.1828	6.174125	-5.795259
734.9785	6.08749	-5.259842
735.7741	5.953786	-4.702356
736.5698	5.869341	-4.219816
737.3654	5.793538	-3.755856
738.1611	5.741142	-3.237674
738.9567	5.728096	-2.752047
739.7523	5.675434	-2.330451
740.548	5.689386	-1.890762
